player_hand,dealer_upcard,can_double,result
4D-4C-2C-AD,9C,0,stand
8C-JH,AH,1,stand
KS-KD,5S,1,stand
10S-2S,8H,1,hit
10S-2S-6D,8H,0,stand
10S-8H,AC,1,stand
10D-2H,7C,1,hit
10D-2H-4D,7C,0,hit
KS-10D,9S,1,stand
2C-7H,10H,1,hit
2C-7H-7S,10H,0,hit
2C-7H-7S-3H,10H,0,stand
9C-5S,8H,1,hit
9C-5S-6H,8H,0,stand
JH-6D,6C,1,stand
10C-6S,9H,1,hit
2C-7C,3S,1,double down
9S-2C,8C,1,double down
7H-8S,6S,1,stand
7D-AS,6S,1,double down
5C-QH,10C,1,hit
5H-9C,KS,1,hit
5H-9C-4D,KS,0,stand
6S-KH,6C,1,stand
KD-3H,10S,1,hit
KD-3H-4C,10S,0,stand
AH-4S,KS,1,hit
AH-4S-9D,KS,0,hit
AS-8S,JD,1,stand
9D-7H,6C,1,stand
3H-2D,10S,1,hit
3H-2D-7C,10S,0,hit
3H-2D-7C-8C,10S,0,stand
5C-3C,2H,1,hit
5C-3C-8C,2H,0,stand
7H-6C,9C,1,hit
7H-6C-5S,9C,0,stand
JS-3C,8C,1,hit
3S-2S,2C,1,hit
3S-2S-4C,2C,0,hit
3S-2S-4C-KS,2C,0,stand
9H-8H,7H,1,stand
8H-KD,3D,1,stand
6S-QD,10H,1,hit
6S-QD-5H,10H,0,stand
QH-5D,5H,1,stand
KH-4S,8C,1,hit
KH-4S-5H,8C,0,stand
3D-6C,5S,1,double down
5C-7H,6D,1,stand
QH-7S,3S,1,stand
KH-9S,8C,1,stand
KD-4D,10S,1,hit
KD-4D-7H,10S,0,stand
8C-7D,3D,1,stand
5H-3S,JC,1,hit
5H-3S-2H,JC,0,hit
5H-3S-2H-2C,JC,0,hit
5H-3S-2H-2C-5S,JC,0,stand
QS-QD,6C,1,stand
7C-2D,10S,1,hit
7C-2D-8D,10S,0,stand
6S-5S,3S,1,double down
6S-8D,3S,1,stand
6H-JC,3S,1,stand
4H-7S,3S,1,double down
